SPECIES_CODE,ID,SAMPLING_YEAR,FLEET_CODE,REPCOUNTRY,GEAR_CODE,AREA,DATESTART,DATEEND,SEX,MATURITY,COMMENT,FL,RD,SF,HG,TL,HL,BH,SPECIES,SPECIES_SCIENTIFIC,SPECIES_CATEGORY_CODE,AREA_TYPE,N_MEASUREMENTS_SPECIES,DATE_RANGE,CF
ALB,224309,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,71,8.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224310,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,99,17,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224311,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,85,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224312,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,86,11,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224313,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,80,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224314,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,67,4,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224315,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,93,15,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224316,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,76,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224317,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,97,18,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224318,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,100,17,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224319,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,70,5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224320,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,77,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224321,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,82,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224322,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,79,9,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224323,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,79,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224324,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,79,10,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224325,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,90,15,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224326,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,101,20,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224327,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,92,14,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224328,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,92,15,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224329,2007,KOR,KOR,LL,5238025,01/08/2007,31/08/2007,U,NA,NA,66,5.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,30,NA
ALB,224330,2007,KOR,KOR,LL,5238030,01/09/2007,30/09/2007,U,NA,NA,88,16,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224331,2007,KOR,KOR,LL,5237030,01/09/2007,30/09/2007,U,NA,NA,88,12,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224332,2007,KOR,KOR,LL,5237030,01/09/2007,30/09/2007,U,NA,NA,80,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224333,2007,KOR,KOR,LL,5237030,01/09/2007,30/09/2007,U,NA,NA,82,9.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224334,2007,KOR,KOR,LL,5237030,01/09/2007,30/09/2007,U,NA,NA,71,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224335,2007,KOR,KOR,LL,5237030,01/09/2007,30/09/2007,U,NA,NA,79,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224336,2007,KOR,KOR,LL,5236032,01/09/2007,30/09/2007,U,NA,NA,74,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224337,2007,KOR,KOR,LL,5236032,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224338,2007,KOR,KOR,LL,5236032,01/09/2007,30/09/2007,U,NA,NA,75,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224339,2007,KOR,KOR,LL,5236032,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224340,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,86,12,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224341,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,79,9,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224342,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,87,12,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224343,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,72,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224344,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,74,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224345,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,75,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224346,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224347,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,77,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224348,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,78,7.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224349,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,74,6.5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224350,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,78,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224351,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,77,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224352,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,68,4,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224353,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,82,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224354,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,79,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224355,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,78,5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224356,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,79,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224357,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,78.5,8,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224358,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224359,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,69,5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224360,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,81,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224361,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,75,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224362,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,79,7,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224363,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,74,5,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224364,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,76,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224365,2007,KOR,KOR,LL,5235037,01/09/2007,30/09/2007,U,NA,NA,96,13,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
ALB,224366,2007,KOR,KOR,LL,5234036,01/09/2007,30/09/2007,U,NA,NA,85,6,NA,NA,NA,NA,NA,Albacore,Thunnus alalunga,TEMPERATE,1x1,499,29,NA
