"","project","flag","flag_code","gear_code","sampling_platform","species_code_fao","organism_identifier","organism_sampling_status","sex","geom_type","geom_wkt","capture_date_min","capture_date_max","capture_date_avg","capture_date_uncertainty","longitude_deg_dec_avg","latitude_deg_dec_avg","first_dorsal_length","total_length","fork_length","pectoral_fork_length","curved_fork_length","curved_pectoral_fork_length","first_thorax_girth","wholebody_weight","gutted_weight","gilledgutted_weight"
"1","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-207","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,95,68,99,70,NA,18.9,NA,NA
"2","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-208","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,99,71,104,74,NA,21.9,NA,NA
"3","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-209","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,105,77,107,80,NA,23.6,NA,NA
"4","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-210","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,95,68,100,71,NA,18.5,NA,NA
"5","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-211","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,103,75,109,78,NA,24.5,NA,NA
"6","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-212","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,95,67,98,70,NA,19,NA,NA
"7","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-213","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,102,73,108,75,NA,24,NA,NA
"8","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-214","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,99,71,104,74,NA,20.9,NA,NA
"9","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-215","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,92,66,98,69,NA,16,NA,NA
"10","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-216","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,101,72,105,74,NA,22.5,NA,NA
"11","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-217","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,100,71,105,73,NA,22.7,NA,NA
"12","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-218","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,100,70,103,71,NA,22.4,NA,NA
"13","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-219","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,95,68,98,70,NA,20,NA,NA
"14","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-220","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,98,70,103,72,NA,21.3,NA,NA
"15","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-221","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,99,71,105,76,NA,22.9,NA,NA
"16","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-222","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,98,70,101,71,NA,20,NA,NA
"17","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-223","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,101,71,105,74,NA,24,NA,NA
"18","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-224","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,98,72,107,76,NA,22.3,NA,NA
"19","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-225","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,98,71,105,74,NA,21.9,NA,NA
"20","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-226","frozen","F","POINT","POINT (53.83333 -22.66667)",2013-12-04,2013-12-23,2013-12-04,19,53.83,-22.67,NA,NA,101,73,107,76,NA,23.1,NA,NA
"21","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-227","frozen","M","POINT","POINT (54.98333 -21.86667)",2013-12-04,2013-12-23,2013-12-04,19,54.98,-21.87,NA,NA,104,73,NA,NA,NA,NA,NA,NA
"22","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-228","frozen","M","POINT","POINT (55.19167 -21.74583)",2013-12-04,2013-12-23,2013-12-04,19,55.19,-21.75,NA,NA,108,79,NA,NA,NA,NA,NA,NA
"23","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-229","frozen","M","POINT","POINT (55.19167 -21.74583)",2013-12-04,2013-12-23,2013-12-04,19,55.19,-21.75,NA,NA,108,75,NA,NA,NA,NA,NA,NA
"24","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-230","frozen","M","POINT","POINT (55.19167 -21.74583)",2013-12-04,2013-12-23,2013-12-04,19,55.19,-21.75,NA,NA,107,74,NA,NA,NA,NA,NA,NA
"25","ARTS-ZD / GERMON / CONSWO","France","FRA","LLF","factory","ALB","A1-231","frozen","M","POINT","POINT (55.19167 -21.74583)",2013-12-04,2013-12-23,2013-12-04,19,55.19,-21.75,NA,NA,95,68,NA,NA,NA,NA,NA,NA
